Nome;Email;Id;Servico
"Pedro José";pedro@gmail.com;1;Carpintaria
"Victor José";victor@gmail.com;2;"Desenvolvedor web"
"Paulo José";paulo@gmail.com;4;Carpintaria
"Vinicius José";vinicius@gmail.com.br;5;Carpintaria
"João José";joao@gmail.com;6;Carpintaria
"Fabio José";fabio@gmail.com;7;Delivery
"Cristiano José";cristiano@gmail.com;8;Delivery
"Arthur José";arthur@gmail.com;11;Delivery
"Samuel José";samuel@gmail.com;14;Carpintaria
"Arthur José";arthur@gmail.com;15;Design
"Jackson José";jackson@gmail.com;17;"Desenvolvedor web"
